"Htno","Subcode","Subname","Grade","Credits"
"16JK1A0104","R161102","MATHEMATICS-I","F","0"
"16JK1A0108","R161102","MATHEMATICS-I","F","0"
"16JK1A0110","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0113","R161102","MATHEMATICS-I","F","0"
"16JK1A0113","R161105","ENGINEERING CHEMISTRY","ABSENT","0"
"16JK1A0113","R161107","COMPUTER PROGRAMMING","C","3"
"16JK1A0113","R161108","ENVIRONMENTAL STUDIES","C","3"
"16JK1A0117","R161102","MATHEMATICS-I","D","3"
"16JK1A0117","R161111","ENGINEERING MECHANICS","D","3"
"16JK1A0122","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0122","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0124","R161102","MATHEMATICS-I","F","0"
"16JK1A0124","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0124","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0125","R161102","MATHEMATICS-I","F","0"
"16JK1A0125","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0125","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0132","R161102","MATHEMATICS-I","F","0"
"16JK1A0132","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0139","R161102","MATHEMATICS-I","C","3"
"16JK1A0142","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0142","R161107","COMPUTER PROGRAMMING","C","3"
"16JK1A0142","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0143","R161102","MATHEMATICS-I","C","3"
"16JK1A0143","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0143","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0144","R161102","MATHEMATICS-I","F","0"
"16JK1A0144","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0146","R161102","MATHEMATICS-I","F","0"
"16JK1A0146","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0146","R161107","COMPUTER PROGRAMMING","D","3"
"16JK1A0146","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0213","R161102","MATHEMATICS-I","F","0"
"16JK1A0213","R161111","ENGINEERING MECHANICS","D","3"
"16JK1A0303","R161102","MATHEMATICS-I","F","0"
"16JK1A0305","R161102","MATHEMATICS-I","F","0"
"16JK1A0311","R161102","MATHEMATICS-I","ABSENT","0"
"16JK1A0311","R161107","COMPUTER PROGRAMMING","F","0"
"16JK1A0311","R161111","ENGINEERING MECHANICS","ABSENT","0"
"16JK1A0315","R161102","MATHEMATICS-I","F","0"
"16JK1A0315","R161105","ENGINEERING CHEMISTRY","D","3"
"16JK1A0315","R161107","COMPUTER PROGRAMMING","F","0"
"16JK1A0315","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0318","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0318","R161107","COMPUTER PROGRAMMING","F","0"
"16JK1A0320","R161102","MATHEMATICS-I","F","0"
"16JK1A0322","R161102","MATHEMATICS-I","F","0"
"16JK1A0329","R161102","MATHEMATICS-I","F","0"
"16JK1A0330","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0333","R161105","ENGINEERING CHEMISTRY","D","3"
"16JK1A0333","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0334","R161105","ENGINEERING CHEMISTRY","F","0"
"16JK1A0335","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0337","R161102","MATHEMATICS-I","F","0"
"16JK1A0340","R161102","MATHEMATICS-I","F","0"
"16JK1A0340","R161105","ENGINEERING CHEMISTRY","ABSENT","0"
"16JK1A0340","R161107","COMPUTER PROGRAMMING","F","0"
"16JK1A0341","R161102","MATHEMATICS-I","F","0"
"16JK1A0344","R161102","MATHEMATICS-I","F","0"
"16JK1A0344","R161105","ENGINEERING CHEMISTRY","F","0"
"16JK1A0347","R161102","MATHEMATICS-I","F","0"
"16JK1A0347","R161105","ENGINEERING CHEMISTRY","D","3"
"16JK1A0347","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0356","R161102","MATHEMATICS-I","F","0"
"16JK1A0357","R161102","MATHEMATICS-I","F","0"
"16JK1A0360","R161102","MATHEMATICS-I","F","0"
"16JK1A0360","R161105","ENGINEERING CHEMISTRY","F","0"
"16JK1A0366","R161102","MATHEMATICS-I","F","0"
"16JK1A0366","R161105","ENGINEERING CHEMISTRY","C","3"
"16JK1A0367","R161111","ENGINEERING MECHANICS","F","0"
"16JK1A0406","R161104","APPLIED PHYSICS","F","0"
"16JK1A0406","R161110","MATHEMATICS-II (NUMERICAL METHODS AND CO","F","0"
"16JK1A0410","R161104","APPLIED PHYSICS","F","0"
"16JK1A0412","R161102","MATHEMATICS-I","F","0"
"16JK1A0412","R161104","APPLIED PHYSICS","F","0"
"16JK1A0412","R161107","COMPUTER PROGRAMMING","F","0"
"16JK1A0412","R161113","ENGINEERING DRAWING","ABSENT","0"
"16JK1A0415","R161102","MATHEMATICS-I","F","0"
"16JK1A0415","R161104","APPLIED PHYSICS","F","0"
"16JK1A0415","R161110","MATHEMATICS-II (NUMERICAL METHODS AND CO","F","0"
"16JK1A0417","R161102","MATHEMATICS-I","F","0"
"16JK1A0417","R161104","APPLIED PHYSICS","F","0"
"16JK1A0417","R161110","MATHEMATICS-II (NUMERICAL METHODS AND CO","F","0"
"16JK1A0418","R161104","APPLIED PHYSICS","F","0"
