"Htno","Subcode","Subname","Internals","Grade","Credits"
"19JK1A0101","R1932011","DESIGN & DRAWING OF REINFORCED CONCRETE","18","D","3.0"
"19JK1A0101","R1932012","WATER RESOURCES ENGINEERING-II","20","F","0.0"
"19JK1A0101","R1932013","GEOTECHNICAL ENGINEERING-I","17","F","0.0"
"19JK1A0101","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","13","F","0.0"
"19JK1A0103","R1932013","GEOTECHNICAL ENGINEERING-I","23","F","0.0"
"19JK1A0105","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","16","D","3.0"
"19JK1A0107","R1932011","DESIGN & DRAWING OF REINFORCED CONCRETE","21","ABSENT","0.0"
"19JK1A0107","R1932012","WATER RESOURCES ENGINEERING-II","18","ABSENT","0.0"
"19JK1A0107","R1932013","GEOTECHNICAL ENGINEERING-I","20","ABSENT","0.0"
"19JK1A0107","R193201F","DISASTER MANAGEMENT","19","ABSENT","0.0"
"19JK1A0108","R1932012","WATER RESOURCES ENGINEERING-II","20","C","3.0"
"19JK1A0108","R1932013","GEOTECHNICAL ENGINEERING-I","20","F","0.0"
"19JK1A0108","R193201F","DISASTER MANAGEMENT","20","B","3.0"
"19JK1A0110","R1932012","WATER RESOURCES ENGINEERING-II","19","F","0.0"
"19JK1A0110","R1932013","GEOTECHNICAL ENGINEERING-I","19","D","3.0"
"19JK1A0110","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","20","D","3.0"
"19JK1A0111","R1932013","GEOTECHNICAL ENGINEERING-I","17","F","0.0"
"19JK1A0111","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","19","D","3.0"
"19JK1A0111","R193201B","WATERSHED MANAGEMENT","16","C","3.0"
"19JK1A0113","R1932012","WATER RESOURCES ENGINEERING-II","24","C","3.0"
"19JK1A0113","R1932013","GEOTECHNICAL ENGINEERING-I","21","D","3.0"
"19JK1A0114","R1932013","GEOTECHNICAL ENGINEERING-I","18","F","0.0"
"19JK1A0114","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","15","F","0.0"
"19JK1A0114","R193201F","DISASTER MANAGEMENT","20","C","3.0"
"19JK1A0118","R1932012","WATER RESOURCES ENGINEERING-II","18","F","0.0"
"19JK1A0118","R1932013","GEOTECHNICAL ENGINEERING-I","19","F","0.0"
"19JK1A0119","R1932012","WATER RESOURCES ENGINEERING-II","21","F","0.0"
"19JK1A0119","R1932013","GEOTECHNICAL ENGINEERING-I","21","D","3.0"
"19JK1A0119","R1932014","MANAGERIAL ECONOMICS & FINANCIAL ANALYSI","17","D","3.0"
"19JK1A0201","R1932023","DATA STRUCTURES","23","C","3.0"
"19JK1A0204","R1932024","DIGITAL CONTROL SYSTEMS","23","F","0.0"
"19JK1A0207","R1932021","ELECTRIC DRIVES","16","C","3.0"
"19JK1A0207","R1932022","POWER SYSTEM ANALYSIS","15","F","0.0"
"19JK1A0207","R1932023","DATA STRUCTURES","16","F","0.0"
"19JK1A0208","R193202D","INTERNET OF THINGS APPLICATIONS TO ELECT","23","C","3.0"
"19JK1A0211","R1932021","ELECTRIC DRIVES","14","D","3.0"
"19JK1A0211","R1932022","POWER SYSTEM ANALYSIS","15","F","0.0"
"19JK1A0211","R1932023","DATA STRUCTURES","20","F","0.0"
"19JK1A0211","R1932024","DIGITAL CONTROL SYSTEMS","17","F","0.0"
"19JK1A0211","R193202D","INTERNET OF THINGS APPLICATIONS TO ELECT","21","F","0.0"
"19JK1A0212","R1932021","ELECTRIC DRIVES","15","D","3.0"
"19JK1A0212","R1932022","POWER SYSTEM ANALYSIS","17","F","0.0"
"19JK1A0212","R1932024","DIGITAL CONTROL SYSTEMS","20","F","0.0"
"19JK1A0212","R193202D","INTERNET OF THINGS APPLICATIONS TO ELECT","24","F","0.0"
"19JK1A0212","R193205G","DATABASE MANAGEMENT SYSTEMS (EXCEPT CSE","22","F","0.0"
"19JK1A0301","R1932032","HEAT TRANSFER","22","C","3.0"
"19JK1A0304","R1932033","CAD/CAM","21","B","3.0"
"19JK1A0305","R193203C","UNCONVENTIONAL MACHINING PROCESSES","23","C","3.0"
"19JK1A0305","R193203H","AUTOMOBILE ENGINEERING","23","C","3.0"
"19JK1A0308","R1932033","CAD/CAM","14","F","0.0"
"19JK1A0308","R193203C","UNCONVENTIONAL MACHINING PROCESSES","17","D","3.0"
"19JK1A0308","R193203H","AUTOMOBILE ENGINEERING","22","F","0.0"
"19JK1A0309","R1932031","OPERATIONS RESEARCH","9","D","3.0"
"19JK1A0309","R1932032","HEAT TRANSFER","18","D","3.0"
"19JK1A0309","R1932033","CAD/CAM","17","F","0.0"
"19JK1A0309","R193203C","UNCONVENTIONAL MACHINING PROCESSES","17","C","3.0"
"19JK1A0309","R193203H","AUTOMOBILE ENGINEERING","18","F","0.0"
"19JK1A0312","R193203C","UNCONVENTIONAL MACHINING PROCESSES","19","C","3.0"
"19JK1A0313","R1932033","CAD/CAM","13","F","0.0"
"19JK1A0313","R193203C","UNCONVENTIONAL MACHINING PROCESSES","18","F","0.0"
