Htno,Subcode,Subname,Internals,Grade,Credits
19JK1A0115,R194101N,WASTE WATER TREATMENT,23,C,3
19JK1A0117,R1941013,REMOTE SENSING & GIS,21,C,3
19JK1A0213,R1941022,OOPS THROUGH JAVA,---,No Change,---
19JK1A0302,R194103H,POWER PLANT ENGINEERING,22,C,3
19JK1A0312,R194103N,NANO TECHNOLOGY,---,No Change,---
19JK1A0316,R1941031,INDUSTRIAL MANAGEMENT,16,C,3
19JK1A0320,R1941031,INDUSTRIAL MANAGEMENT,13,C,3
19JK1A0322,R1941032,FINITE ELEMENT METHODS (COMMON TO ME & A,---,No Change,---
19JK1A0328,R1941032,FINITE ELEMENT METHODS (COMMON TO ME & A,---,No Change,---
19JK1A0335,R1941032,FINITE ELEMENT METHODS (COMMON TO ME & A,22,C,3
19JK1A0337,R194103H,POWER PLANT ENGINEERING,---,No Change,---
19JK1A0339,R1941031,INDUSTRIAL MANAGEMENT,---,No Change,---
19JK1A0342,R194103H,POWER PLANT ENGINEERING,24,C,3
19JK1A0415,R1941042,DATA COMMUNICATIONS & COMPUTER NETWORKS,22,C,3
19JK1A0415,R1941043,DIGITAL IMAGE AND VIDEO PROCESSING,---,No Change,---
19JK1A0423,R1941043,DIGITAL IMAGE AND VIDEO PROCESSING,---,No Change,---
19JK1A0445,R1941042,DATA COMMUNICATIONS & COMPUTER NETWORKS,---,No Change,---
19JK1A0452,R1941041,MICROWAVE AND OPTICAL COMMUNICATION ENGI,---,No Change,---
19JK1A0452,R1941043,DIGITAL IMAGE AND VIDEO PROCESSING,---,No Change,---
19JK1A0453,R1941042,DATA COMMUNICATIONS & COMPUTER NETWORKS,---,No Change,---
19JK1A0529,R1941052,UML & DESIGN PATTERNS,22,C,3
19JK1A0534,R1941052,UML & DESIGN PATTERNS,22,C,3
19JK1A0537,R1941051,CRYPTOGRAPHY AND NETWORK SECURITY(COMMON,---,No Change,---
19JK1A0538,R1941051,CRYPTOGRAPHY AND NETWORK SECURITY(COMMON,---,No Change,---
19JK1A0539,R1941052,UML & DESIGN PATTERNS,21,C,3
17JK1A0109,R1641011,ENVIRONMENTAL ENINEERING-II,,No Change,No Change
